Category,Item,ItemType,SuggestedVerbKeysTop,SuggestedVerbLabelsTop,SuggestedVerbKeysMore,SuggestedVerbLabelsMore,SuggestedLocationCategoryNames,SuggestedLocationQuickPickKeys,SuggestedLocationQuickPickLabels,MatchedOverrideRules
"Electrical - Controls, Sensors & Modules",Body Control Module (BCM),PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Boost Pressure Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Brake Pedal Switch,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Calibration,SERVICE,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Camshaft Position Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Control Module,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Crankshaft Position Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Data Link Connector,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Electrical Programming / Reflash,SERVICE,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Engine Control Module (ECM),PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Fuel Pressure Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Fuel Temperature Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Gauge / Warning Indicator,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Instrument Cluster,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Intake Air Temperature Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Level Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Oil Pressure Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Oil Temperature Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Pressure Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Relay,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Speed Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Steering Angle Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Switch Panel,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Temperature Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Throttle Position Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Transmission Control Module (TCM),PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Transmission Speed Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Transmission Temperature Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Vehicle Speed Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Controls, Sensors & Modules",Wheel Speed Sensor,PART,diagnose|scan|test|measure|trace|replace|repair|program|calibrate|reset|update_firmware|connect|wire|rewire|disconnect,Diagnose|Scan|Test|Measure|Trace|Replace|Repair|Program|Calibrate|Reset|Update Firmware|Connect|Wire|Rewire|Disconnect,secure|clean|verify,Secure|Clean|Verify,General Orientation|Cab & Interior|Truck / Tractor Areas|Truck / Tractor Axles & Wheel Ends|Trailer Areas|Trailer Axles & Wheel Ends|Body / Upfit|Equipment / Attachments|Bus / School Bus,general|truck_cab_interior|truck_engine_compartment|truck_frame_left|truck_frame_right|steer_axle_left|steer_axle_right|trailer_front|trailer_rear,General|Cab - Interior|Engine Compartment|Frame - Left Rail|Frame - Right Rail|Steer Axle - Left|Steer Axle - Right|Trailer - Front|Trailer - Rear,
"Electrical - Power, Starting & Charging",Alternator,PART,test|measure|replace|install|repair|diagnose|inspect|remove|connect|disconnect|secure|clean|trace|wire|rewire,Test|Measure|Replace|Install|Repair|Diagnose|Inspect|Remove|Connect|Disconnect|Secure|Clean|Trace|Wire|Rewire,tighten|torque|verify,Tighten|Torque|Verify,Truck / Tractor Areas|General Orientation|Cab & Interior|Body / Upfit,truck_engine_compartment|general|truck_battery_box|truck_cab_interior|truck_frame_left|truck_frame_right,Engine Compartment|General|Battery Box|Cab - Interior|Frame - Left Rail|Frame - Right Rail,KW061
"Electrical - Power, Starting & Charging",Alternator Pulley,PART,test|measure|replace|install|repair|diagnose|inspect|remove|connect|disconnect|secure|clean|trace|wire|rewire,Test|Measure|Replace|Install|Repair|Diagnose|Inspect|Remove|Connect|Disconnect|Secure|Clean|Trace|Wire|Rewire,tighten|torque|verify,Tighten|Torque|Verify,Truck / Tractor Areas|General Orientation|Cab & Interior|Body / Upfit,truck_engine_compartment|general|truck_battery_box|truck_cab_interior|truck_frame_left|truck_frame_right,Engine Compartment|General|Battery Box|Cab - Interior|Frame - Left Rail|Frame - Right Rail,KW061
"Electrical - Power, Starting & Charging",Battery,PART,test|measure|replace|install|connect|disconnect|clean|diagnose|inspect|repair|remove|secure|trace|wire|rewire,Test|Measure|Replace|Install|Connect|Disconnect|Clean|Diagnose|Inspect|Repair|Remove|Secure|Trace|Wire|Rewire,tighten|torque|verify,Tighten|Torque|Verify,Truck / Tractor Areas|General Orientation|Cab & Interior|Body / Upfit,truck_battery_box|general|truck_engine_compartment|truck_cab_interior|truck_frame_left|truck_frame_right,Battery Box|General|Engine Compartment|Cab - Interior|Frame - Left Rail|Frame - Right Rail,KW060
